三重県	1384.0
京都府	1236.0
佐賀県	1349.0
兵庫県	1296.0
北海道	1102.0
千葉県	1723.0
和歌山県	924.0
埼玉県	1892.0
大分県	1252.0
大阪府	1227.5
奈良県	1686.0
宮城県	2136.0
宮崎県	943.0
富山県	1199.0
山口県	1113.0
山形県	1859.0
山梨県	1628.0
岐阜県	1351.0
岡山県	1274.0
岩手県	2884.0
島根県	1473.0
広島県	1366.0
徳島県	1785.0
愛媛県	1211.0
愛知県	1499.0
新潟県	1688.0
東京都	1624.0
栃木県	1833.0
沖縄県	1162.0
滋賀県	1437.0
熊本県	1361.0
石川県	1135.0
神奈川県	1769.6666666666667
福井県	1684.0
福岡県	1369.0
福島県	1857.0
秋田県	1766.0
群馬県	1696.0
茨城県	1675.0
長野県	2275.0
長﨑県	1491.0
青森県	1580.0
静岡県	1767.0
香川県	1379.0
高知県	1190.0
鳥取県	1512.0
鹿児島県	1250.0
